date,game_result,game_time,champion,kills,deaths,assists,damage
Aug 5 2021 11:04 PM,Defeat,13m 56s,Jayce,1,7,13,"13,688"
Aug 3 2021 11:02 PM,Defeat,19m 1s,Kassadin,11,12,21,"26,923"
Aug 3 2021 10:37 PM,Defeat,21m 18s,Nunu & Willump,5,13,17,"14,363"
Aug 3 2021 10:12 PM,Defeat,19m 5s,Xerath,8,8,25,"33,598"
Aug 3 2021 9:50 PM,Defeat,17m 52s,Jayce,10,12,16,"27,134"
Aug 3 2021 9:28 PM,Victory,21m 13s,Ezreal,14,6,24,"47,570"
Aug 3 2021 9:04 PM,Defeat,21m 44s,Ezreal,15,9,10,"40,215"
Aug 3 2021 8:33 PM,Defeat,14m 49s,Xerath,8,5,11,"21,917"
Aug 2 2021 10:33 PM,Victory,16m 17s,Draven,14,7,24,"23,459"
Aug 2 2021 10:14 PM,Defeat,23m 36s,Varus,18,11,27,"63,028"
Aug 2 2021 9:46 PM,Victory,16m 28s,Nidalee,14,6,35,"37,803"
Aug 1 2021 11:05 PM,Victory,18m 43s,Aphelios,16,8,25,"59,042"
Aug 1 2021 10:43 PM,Defeat,17m 45s,Annie,3,7,14,"15,030"
Jul 31 2021 10:11 PM,Victory,18m 53s,Syndra,17,7,9,"30,079"
Jul 31 2021 9:48 PM,Victory,10m 1s,Nidalee,12,1,8,"15,137"
Jul 31 2021 9:31 PM,Victory,18m 10s,Twisted Fate,12,6,24,"36,563"
Jul 30 2021 11:26 PM,Victory,13m 2s,Vladimir,10,6,16,"17,299"
Jul 30 2021 9:34 PM,Victory,25m 17s,Tryndamere,13,16,13,"24,317"
Jul 30 2021 9:04 PM,Victory,14m 35s,Kindred,26,6,21,"47,077"
Jul 30 2021 8:47 PM,Defeat,18m 26s,Ekko,5,9,15,"18,231"
Jul 29 2021 11:22 PM,Victory,14m 41s,Twitch,12,7,14,"18,809"
Jul 29 2021 11:03 PM,Defeat,23m 45s,Nidalee,10,9,19,"30,727"
Jul 29 2021 10:36 PM,Victory,15m 56s,Twisted Fate,7,5,10,"22,942"
Jul 28 2021 9:47 PM,Defeat,18m 23s,Corki,8,14,9,"21,633"
